step,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,action_0,action_1,action_2,action_3,action_4,action_5,reward,done
0,-0.020431041717529297,-0.01215393841266632,-0.023979946970939636,-0.081975556910038,-0.06844799220561981,0.024100497364997864,-0.02721989154815674,0.012210942804813385,-0.016328003257513046,-0.0013909239787608385,0.045852698385715485,0.12954513728618622,0.06956824660301208,0.1185043677687645,-0.09338594228029251,0.17762981355190277,-0.104825958609581,-0.25679588317871094,-0.3157236576080322,0.626967191696167,0.7659702301025391,0.7287824153900146,-0.6999285221099854,-0.09320741891860962,False
1,-0.025319218635559082,-0.032208152115345,-0.015168820507824421,-0.1889229565858841,0.17906399071216583,0.06928566843271255,0.3287723660469055,-0.5975050330162048,0.31421905755996704,-0.10762489587068558,-0.4430551528930664,0.1887189745903015,-3.5616846084594727,7.905724048614502,0.9670382142066956,5.844492435455322,-6.815262794494629,0.3975565433502197,0.43599581718444824,0.32918286323547363,-0.6253354549407959,-0.209822416305542,-0.824223518371582,-0.5258539319038391,False
2,-0.016659080982208252,0.021625010296702385,-0.10488111525774002,-0.12721441686153412,0.37508583068847656,-0.02037675864994526,0.3306320905685425,-0.15043209493160248,0.028894398361444473,0.044760458171367645,0.8010579943656921,-2.9120213985443115,3.153853178024292,3.4693706035614014,-1.8441691398620605,4.690371513366699,-1.1367045640945435,0.840076208114624,-0.9023175239562988,0.3953428268432617,0.47524380683898926,0.06486010551452637,0.4520578384399414,0.2344638854265213,False
3,-0.01325613260269165,0.034576382488012314,0.22459480166435242,-0.5948963165283203,0.7669017910957336,-0.005273775197565556,0.3305136263370514,0.11300861835479736,0.22613726556301117,0.7921132445335388,1.9854884147644043,11.0130033493042,-15.862826347351074,8.20654582977295,0.06124066561460495,-3.040966749191284,9.737624168395996,-0.8281514644622803,0.1772775650024414,0.9709463119506836,0.4801614284515381,-0.4890151023864746,-0.7686541080474854,1.1094094514846802,False
4,0.0205497145652771,0.17829929292201996,0.15990997850894928,-0.6338487863540649,0.7345988154411316,0.20007093250751495,0.06754995882511139,0.1293269395828247,0.109073206782341,-0.44836461544036865,1.717476725578308,-2.3713362216949463,1.4558064937591553,2.120692729949951,8.065933227539062,-5.462503910064697,-7.568485260009766,0.6904404163360596,0.286773681640625,-0.7391035556793213,0.5682845115661621,-0.532893180847168,-0.7026574611663818,0.8871991634368896,False
5,8.64267349243164e-06,0.277060329914093,0.22576528787612915,-0.5329635739326477,0.46819958090782166,0.5432494878768921,-0.18905504047870636,-0.49102288484573364,1.9124767780303955,-0.08141687512397766,3.0385539531707764,-1.1339126825332642,4.912639141082764,-9.685796737670898,7.960859298706055,-5.242175579071045,-18.238296508789062,0.0501856803894043,-0.1831367015838623,-0.6894116401672363,0.3646528720855713,-0.24937725067138672,-0.4627039432525635,0.14328697323799133,False
6,-0.052424073219299316,0.40422573685646057,0.2625008821487427,-0.4406655728816986,-0.0044458843767642975,0.7148879170417786,-0.7227815389633179,-0.058743368834257126,1.3637964725494385,-0.13893194496631622,0.4302273988723755,4.630590438842773,0.3073425889015198,-11.132179260253906,2.9713592529296875,-10.338101387023926,9.245914459228516,0.6975500583648682,-0.5760133266448975,-0.5873923301696777,-0.8838222026824951,0.339646577835083,-0.3842759132385254,1.0771833658218384,False
7,-0.09226763248443604,0.4721207916736603,0.7864481210708618,-0.867797315120697,-0.4527612328529358,0.3409360945224762,-0.4997991621494293,-0.03580677881836891,0.8625609874725342,-1.1443597078323364,1.626355528831482,6.852023601531982,-7.133719444274902,-1.1254385709762573,-8.406323432922363,10.417769432067871,-6.566679000854492,-0.738295316696167,0.7222442626953125,-0.2583751678466797,-0.7284836769104004,-0.9781782627105713,0.9808206558227539,-1.491586446762085,False
8,-0.023790419101715088,0.49389323592185974,0.33991026878356934,-0.1131313294172287,-0.16957160830497742,0.44255754351615906,-1.0213570594787598,0.6245108842849731,-3.839942455291748,1.5626410245895386,-1.2035077810287476,-7.853382110595703,16.634634017944336,5.277161121368408,4.136770248413086,-9.906764030456543,7.075132369995117,0.37163829803466797,0.6827526092529297,0.3211033344268799,-0.00684356689453125,0.9919369220733643,0.7081067562103271,-1.533866047859192,False
9,0.02502542734146118,0.3977864384651184,-0.10759561508893967,0.8563370108604431,0.04789596050977707,0.41161125898361206,-0.5455178022384644,-0.34625959396362305,-2.339067220687866,1.43158757686615,-2.568678855895996,-4.076476097106934,13.370373725891113,7.156662464141846,-1.385856032371521,11.72425365447998,-14.15028190612793,0.9088740348815918,0.43398189544677734,-0.10546660423278809,-0.6671531200408936,-0.6166887283325195,-0.5279481410980225,-0.5742679834365845,False
10,0.07296836376190186,0.398377925157547,0.06878075003623962,0.7613949775695801,0.5329605340957642,0.21738514304161072,-0.45415419340133667,-0.20271936058998108,-0.012522239238023758,0.31746339797973633,-1.215260624885559,6.2189860343933105,-1.0405040979385376,5.3315534591674805,-0.103783518075943,-4.3780670166015625,7.810561656951904,0.571336030960083,-0.1626293659210205,0.8921949863433838,-0.3737654685974121,0.7213621139526367,-0.9938130378723145,-0.811208963394165,False
11,0.09784102439880371,0.29798033833503723,0.694747269153595,0.47417232394218445,0.6946656703948975,-0.022047579288482666,0.03333141654729843,-0.5639515519142151,1.9333223104476929,0.48795393109321594,-2.30513334274292,13.12767505645752,-0.939947247505188,-5.845033168792725,-7.986236095428467,6.7472028732299805,6.938882350921631,0.8410139083862305,-0.8219537734985352,-0.964501142501831,-0.6122455596923828,-0.752997875213623,0.6342082023620605,-1.8505191802978516,False
12,0.055599868297576904,0.3269021511077881,0.9198900461196899,0.5130519270896912,0.39960116147994995,-0.2449035793542862,-0.32937106490135193,0.6448823809623718,-0.7236322164535522,-0.19335973262786865,2.1005923748016357,-5.278784275054932,7.478428840637207,-6.705951690673828,-5.315999984741211,-2.822643518447876,6.667055130004883,-0.2320551872253418,0.7168183326721191,-0.44052553176879883,-0.8653872013092041,-0.34558701515197754,-0.9150981903076172,-1.484863042831421,False
13,0.0669364333152771,0.42122313380241394,0.747712254524231,0.7542336583137512,0.03900136053562164,-0.621748685836792,0.040450386703014374,-0.39603596925735474,-1.7619397640228271,-0.5407536029815674,5.832282066345215,-11.688166618347168,12.792770385742188,-11.802529335021973,-8.728190422058105,-20.221288681030273,33.05840301513672,0.8764162063598633,0.23723626136779785,-0.6146841049194336,-0.09782791137695312,0.5805268287658691,-0.904090404510498,-0.5845361948013306,False
14,0.0010662674903869629,0.5164834856987,0.8935803174972534,0.6258094906806946,-0.39093464612960815,-0.8285881876945496,-0.3225165605545044,0.1343952864408493,0.8796316981315613,-1.1678242683410645,-2.100005865097046,10.80368423461914,-5.197060585021973,-11.102940559387207,-2.22039794921875,3.1595215797424316,-5.426095962524414,0.7180957794189453,-0.3488180637359619,-0.36939048767089844,0.14014339447021484,-0.2263634204864502,-0.11882376670837402,-1.110991358757019,False
