iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-1.1898725294015575,-0.12644636446374424,-0.12727230372094148,0.009378458327191532,0.022562512682225845
1,-2.0497423176565315,-3.5168114870440434,-0.12598174111670563,-0.12908966645926281,0.019167682057877857,0.07850671004868943
2,-1.7410399444714542,-3.3285559082042697,-0.1256285929287429,-0.13074780921757584,0.017352223927965864,0.07037349639071308
3,-2.225696804991203,-0.48808079381264585,-0.12511957170154256,-0.13086652329332213,0.02484765293694196,0.01331335596536861
4,-0.4792898473935942,-2.121347479765998,-0.12507727502834382,-0.1318659728420711,0.0016645356922433052,0.037890637774026695
5,-0.5475422856627253,-1.2220647478651352,-0.12498022805527408,-0.13233991973557746,0.00177760288660252,0.021911088544057912
6,-1.264629587721854,-1.604884370621146,-0.12471214064660673,-0.1330523585667172,0.007091380540091299,0.02589600824119408
7,-2.192737487237293,-6.141783449910043,-0.12427067575818437,-0.13623582156602562,0.028134179084262252,0.2011738048045283
8,-0.8006903457008825,-1.0037962171725077,-0.12413656255313181,-0.1366615486663982,0.003300780594192906,0.019003773597585646
9,-0.882764989275711,-0.5484449722864928,-0.12397587271104345,-0.1368208275717182,0.004888830985392816,0.014579925508663211
10,-0.7969116625062432,-6.391404711651756,-0.12382908600345315,-0.14006577189427494,0.004348886967821239,0.2736086012758132
11,-3.904351774371077,-0.7751267010753595,-0.12290173631553537,-0.14032573112343563,0.07001359764182616,0.015021303287808381
12,-1.6126714187068178,-0.9870509744276724,-0.12254563912140903,-0.14069271592622024,0.014064659793221052,0.02029544810617595
13,-2.8621274448058784,-2.563020466462061,-0.1218690056729467,-0.14187172688356037,0.03478548151738875,0.06352566042991156
14,-0.6439857194757861,-1.1694046785279757,-0.12176042856828578,-0.14235666848197584,0.0023430025242811223,0.01853831461812716
15,-1.857842666582747,-1.0055378552933023,-0.12134035433425769,-0.14273464475082212,0.014710883186095676,0.01833690715989937
16,-6.082639523457561,-13.775995608089124,-0.11998711728714416,-0.14968924971478587,0.2274396833641631,1.1309699380648313
17,-0.7610257960397269,-2.218591697766463,-0.11987975524357682,-0.1506274770575828,0.003294901322699691,0.0600754375327579
18,-2.006177580544385,-2.4569932028338144,-0.11942744852555935,-0.15171938585219105,0.016769025757958134,0.04561675573976233
19,-3.549961244012718,-3.023162026413179,-0.11854007797015105,-0.15306807905197295,0.054407081480710114,0.08183679441487504
20,-0.8327687112465659,-2.474442477406441,-0.11839128302476382,-0.1542857809767806,0.004102827151970079,0.043875398135199146
21,-0.7918736601717709,-2.264778101011001,-0.11823993740606645,-0.15527736412930598,0.003701649542793157,0.05167877308360307
