iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-1.1898725294015575,-0.12361230931977159,-0.1218743122997793,0.009378458327191532,0.022562512682225845
1,-1.9240139048878964,-3.114474630723652,-0.11925784725298152,-0.10696257692972072,0.01716628472242707,0.06483567312425058
2,-1.524104378178547,-2.099286830388739,-0.11621190170759477,-0.09733529031534556,0.01325897404555814,0.04092965812191138
3,-1.8516452727028587,-0.5103777822498322,-0.1119823668152581,-0.09608759287466381,0.01714024832024723,0.013661868252786865
4,-0.41847543693518097,-1.1463163306624518,-0.11168176520925227,-0.0911819082930779,0.0014525943351249707,0.021461902018705428
5,-0.5716215909604169,-0.6574626819531356,-0.11063433293831514,-0.08940897466354902,0.0019026620604896385,0.01576711063568313
6,-1.2291510992006391,-0.7150834294490976,-0.10810051601667252,-0.08707967685178676,0.0067962646143818655,0.01605218594612728
7,-1.7079391148715257,-2.5945393759179405,-0.10471512309599953,-0.07411254333117044,0.01648153730074443,0.049405390522934925
8,-0.5892741600399506,-0.5010316911656946,-0.10386182916322748,-0.07231912910395713,0.0022037211717188736,0.014662543831710338
9,-0.6582966022074437,-0.34428134952686584,-0.10274984350992197,-0.07167291512487438,0.0029021243497004494,0.01427939163270532
10,-0.6587876240305216,-2.095670394683206,-0.10162870834161414,-0.06160919399696083,0.003098911082393545,0.04122123172398768
11,-2.571467388382147,-0.4000168522460401,-0.09547772318449042,-0.06082671383592076,0.028209376847460124,0.01222670604578535
12,-1.0134000038217386,-0.500114860760172,-0.09333880630941382,-0.05966840061323685,0.005561864849213972,0.016292559068830318
13,-1.7029356123317694,-0.8897004824324961,-0.08934340679449054,-0.056413866944036155,0.012024958731155055,0.02013639538590407
14,-0.6824778928677184,-0.6347778729252711,-0.0881793564831296,-0.05420945662410376,0.0024295998088037394,0.014632603096551476
15,-1.1524365214147434,-0.6402981698593817,-0.0857459010198075,-0.05211639617742251,0.006773732888429523,0.01717834612132238
16,-3.566438566466484,-3.0512025536079217,-0.07771778472032474,-0.037470752627085685,0.07210158857608903,0.07374082155884693
17,-0.740526117988273,-0.7012039516246736,-0.07670981605582812,-0.03516586164851237,0.0027386867603681076,0.020511864379518737
18,-0.9866445180620796,-0.4660932390706063,-0.07465173949740718,-0.03410545958446068,0.005344062101403318,0.014114589367031563
19,-1.62847182238615,-0.5551696080089155,-0.07060445413643222,-0.032727989037281344,0.012891826036150389,0.017306834284143667
20,-0.7918815838522194,-1.08759166271962,-0.06929445750247978,-0.027871361165963206,0.003499741526104774,0.02287402373107521
21,-0.5320720937388453,-0.5596316661668874,-0.06852902534955249,-0.026229234065332972,0.002166426216024907,0.015730107070867663
22,-0.8726443014264788,-0.615223000575724,-0.06716993380188628,-0.02433294540822735,0.003753390440385087,0.015346284066513399
23,-1.1009056549184586,-0.5174121714365926,-0.06526980364804855,-0.022364884171322066,0.005544500555794602,0.014598451264982925
24,-0.6505138150207518,-0.4417737008615121,-0.06403420614216276,-0.02095741108336152,0.002987004474960133,0.01729467599193208
25,-2.5034284030130656,-0.5583885096532505,-0.057749176590965345,-0.0195972797139366,0.02824163392670662,0.016751449162917664
26,-0.6104647318205245,-0.6495293133556084,-0.05680932182279787,-0.017237793492296993,0.002343958164097608,0.02057404326124283
27,-0.672229743618308,-0.4245188178593753,-0.055751548624326006,-0.0162181206204168,0.0028212210184472486,0.012943172019209574
28,-2.1787108852162125,-0.461588172041028,-0.05048184454158957,-0.015212759163539896,0.020905933260398787,0.01411258217816801
29,-0.6579056403973308,-0.4491951824115865,-0.04956000884814664,-0.014102668712966513,0.00260475399564037,0.016602513766146344
30,-0.5383874443844481,-1.0548044980201894,-0.048824467954075176,-0.009196074450503567,0.0022023011871366476,0.022540616126905368
31,-1.0574081666014363,-1.2430092381290452,-0.04644289224525866,-0.002898684818611659,0.006000157391101976,0.02768370713344972
32,-0.5268657701537517,-0.37172857047411995,-0.045888162633018516,-0.0021428961570446364,0.002204457853255885,0.015829481868386213
33,-0.43089072825492214,-0.4538195071718732,-0.04522372030450488,-0.0009177118095977406,0.0014997711468480437,0.013501808254851203
34,-0.8301880732363841,-0.5118684358038879,-0.04357626423648498,0.0006276781932724848,0.003237692020504324,0.01606073687440738
35,-0.9061373035073914,-0.3135195796460674,-0.04170433377773758,0.001190865695355825,0.004692552688365206,0.01258761964557907
36,-1.565656970434587,-0.5643268383902674,-0.038240623730933156,0.0031662751740619693,0.014522377777752404,0.014481829723676409
37,-0.3958586194886075,-0.3273786196330411,-0.03785023372302151,0.0035837757860575138,0.0014444586383911768,0.011849708311065828
38,-0.472943188929392,-0.36273182732089243,-0.0372660850553924,0.004350091722706079,0.001685637037373778,0.012196333799273734
39,-0.8534514712754032,-0.5889130042985343,-0.03563857527402052,0.005882667581141359,0.003580749300296447,0.01486547068966848
40,-0.8344360594789919,-0.6369200898648564,-0.033917885380302805,0.008560793844684318,0.004031339394242704,0.01624886302200151
41,-0.5000849762980469,-0.5134788180735756,-0.033340310867448625,0.010407285115986976,0.0015532400148010371,0.015339147458909757
42,-0.5477941091335793,-0.6098264441408225,-0.032571229981394625,0.012787474314649924,0.0018156257979168148,0.017171689929320624
43,-0.5703359335436449,-0.46092678665626435,-0.031731333287447365,0.014037879777906784,0.0021700417673762807,0.012972824603634898
44,-0.5928873715668788,-0.3070369145782076,-0.030741240174057907,0.014719828663793181,0.002488080341398621,0.012435053773804095
45,-0.33993786199424364,-0.8586083748261042,-0.03039370432181213,0.018787836081132457,0.0013255069296112091,0.018746733639735343
46,-1.4829329304937973,-0.4299733009853955,-0.02717982686864992,0.020395297832171068,0.012313858514735938,0.012139977379947396
47,-0.6706020819445689,-1.1858976981113998,-0.025923168280554413,0.025271846170927134,0.0033905974563704553,0.021907110043444773
48,-0.3953195722290235,-0.8650808948861163,-0.02533595364347952,0.02826309317520019,0.0011991509322523887,0.019662441179390467
49,-0.7005089876742981,-0.8923837750632779,-0.024340832186240516,0.03165260508541529,0.002725657524935858,0.01909229858381232
50,-0.6213741380489615,-0.5456893816942752,-0.023489188747393502,0.03333394808245628,0.002340995529484549,0.01392888031210935
51,-0.39031057447553974,-0.507855134410587,-0.023042307308208984,0.03447765756317634,0.0014079688851096083,0.015485837004172876
52,-0.6721597008652859,-0.46130445257611735,-0.021873185332017132,0.035887239280956655,0.0024100957538484755,0.01500644558041382
53,-0.8505300380167259,-0.3311861490526078,-0.020273496120320277,0.036434984381172146,0.003734104598546167,0.011252036249988343
54,-0.7446732743548254,-0.7941664050035163,-0.018848611393599272,0.03984023634311096,0.0030533205302956936,0.020506819621117826
55,-1.002897058400342,-0.46099053915654076,-0.016765823854833117,0.041080709686137515,0.00602965710765116,0.016497401405180967
56,-0.8949451682230106,-0.280020912771339,-0.015184965947445934,0.041655641644119765,0.004549714643977178,0.01275461836595617
57,-0.6621135834200921,-0.6320695660775434,-0.014197831525417677,0.04358064060283717,0.00244576102335214,0.016226337738034478
58,-0.9071978857148619,-0.6127567944710339,-0.012653451332572235,0.045391827011493066,0.003779363083921922,0.01564953265652315
59,-0.6076092782367188,-0.385101223992418,-0.011768610522298538,0.046521547781304885,0.002644496009820898,0.013485341859433978
