iter,down_reward,up_reward,down_cos,up_cos,down_mse,up_mse
0,-1.4521378949913442,-1.1898725294015575,-0.12361230931977159,-0.13186069315879628,0.009378458327191532,0.022562512682225845
1,-1.9240139048878964,-3.9340574842441436,-0.11925784725298152,-0.15199828789379252,0.01716628472242707,0.09458741561195491
2,-1.524104378178547,-6.044612202900657,-0.11621190170759477,-0.18197506662656582,0.01325897404555814,0.19132842622602642
3,-1.8516452727028587,-0.9056910618796191,-0.1119823668152581,-0.18540485310585872,0.01714024832024723,0.016835398719096915
4,-0.41847543693518097,-8.869278865316403,-0.11168176520925227,-0.22659534869186967,0.0014525943351249707,0.604466705978119
5,-0.5716215909604169,-22.05733313601896,-0.11063433293831514,-0.31673657582766845,0.0019026620604896385,6.932131862863531
6,-1.2291510992006391,-2690.7953962556626,-0.10810051601667252,-0.6736968499758682,0.0067962646143818655,34388852.30171194
7,-1.7079391148715257,nan,-0.10471512309599953,nan,0.01648153730074443,nan
8,-0.5892741600399506,nan,-0.10386182916322748,nan,0.0022037211717188736,nan
9,-0.6582966022074437,nan,-0.10274984350992197,nan,0.0029021243497004494,nan
10,-0.6587876240305216,nan,-0.10162870834161414,nan,0.003098911082393545,nan
11,-2.571467388382147,nan,-0.09547772318449042,nan,0.028209376847460124,nan
12,-1.0134000038217386,nan,-0.09333880630941382,nan,0.005561864849213972,nan
13,-1.7029356123317694,nan,-0.08934340679449054,nan,0.012024958731155055,nan
14,-0.6824778928677184,nan,-0.0881793564831296,nan,0.0024295998088037394,nan
15,-1.1524365214147434,nan,-0.0857459010198075,nan,0.006773732888429523,nan
16,-3.566438566466484,nan,-0.07771778472032474,nan,0.07210158857608903,nan
17,-0.740526117988273,nan,-0.07670981605582812,nan,0.0027386867603681076,nan
18,-0.9866445180620796,nan,-0.07465173949740718,nan,0.005344062101403318,nan
19,-1.62847182238615,nan,-0.07060445413643222,nan,0.012891826036150389,nan
20,-0.7918815838522194,nan,-0.06929445750247978,nan,0.003499741526104774,nan
21,-0.5320720937388453,nan,-0.06852902534955249,nan,0.002166426216024907,nan
22,-0.8726443014264788,nan,-0.06716993380188628,nan,0.003753390440385087,nan
23,-1.1009056549184586,nan,-0.06526980364804855,nan,0.005544500555794602,nan
24,-0.6505138150207518,nan,-0.06403420614216276,nan,0.002987004474960133,nan
25,-2.5034284030130656,nan,-0.057749176590965345,nan,0.02824163392670662,nan
26,-0.6104647318205245,nan,-0.05680932182279787,nan,0.002343958164097608,nan
27,-0.672229743618308,nan,-0.055751548624326006,nan,0.0028212210184472486,nan
28,-2.1787108852162125,nan,-0.05048184454158957,nan,0.020905933260398787,nan
29,-0.6579056403973308,nan,-0.04956000884814664,nan,0.00260475399564037,nan
30,-0.5383874443844481,nan,-0.048824467954075176,nan,0.0022023011871366476,nan
31,-1.0574081666014363,nan,-0.04644289224525866,nan,0.006000157391101976,nan
32,-0.5268657701537517,nan,-0.045888162633018516,nan,0.002204457853255885,nan
33,-0.43089072825492214,nan,-0.04522372030450488,nan,0.0014997711468480437,nan
34,-0.8301880732363841,nan,-0.04357626423648498,nan,0.003237692020504324,nan
35,-0.9061373035073914,nan,-0.04170433377773758,nan,0.004692552688365206,nan
36,-1.565656970434587,nan,-0.038240623730933156,nan,0.014522377777752404,nan
37,-0.3958586194886075,nan,-0.03785023372302151,nan,0.0014444586383911768,nan
38,-0.472943188929392,nan,-0.0372660850553924,nan,0.001685637037373778,nan
39,-0.8534514712754032,nan,-0.03563857527402052,nan,0.003580749300296447,nan
40,-0.8344360594789919,nan,-0.033917885380302805,nan,0.004031339394242704,nan
41,-0.5000849762980469,nan,-0.033340310867448625,nan,0.0015532400148010371,nan
42,-0.5477941091335793,nan,-0.032571229981394625,nan,0.0018156257979168148,nan
43,-0.5703359335436449,nan,-0.031731333287447365,nan,0.0021700417673762807,nan
44,-0.5928873715668788,nan,-0.030741240174057907,nan,0.002488080341398621,nan
45,-0.33993786199424364,nan,-0.03039370432181213,nan,0.0013255069296112091,nan
46,-1.4829329304937973,nan,-0.02717982686864992,nan,0.012313858514735938,nan
47,-0.6706020819445689,nan,-0.025923168280554413,nan,0.0033905974563704553,nan
48,-0.3953195722290235,nan,-0.02533595364347952,nan,0.0011991509322523887,nan
49,-0.7005089876742981,nan,-0.024340832186240516,nan,0.002725657524935858,nan
50,-0.6213741380489615,nan,-0.023489188747393502,nan,0.002340995529484549,nan
51,-0.39031057447553974,nan,-0.023042307308208984,nan,0.0014079688851096083,nan
52,-0.6721597008652859,nan,-0.021873185332017132,nan,0.0024100957538484755,nan
53,-0.8505300380167259,nan,-0.020273496120320277,nan,0.003734104598546167,nan
54,-0.7446732743548254,nan,-0.018848611393599272,nan,0.0030533205302956936,nan
55,-1.002897058400342,nan,-0.016765823854833117,nan,0.00602965710765116,nan
56,-0.8949451682230106,nan,-0.015184965947445934,nan,0.004549714643977178,nan
57,-0.6621135834200921,nan,-0.014197831525417677,nan,0.00244576102335214,nan
58,-0.9071978857148619,nan,-0.012653451332572235,nan,0.003779363083921922,nan
59,-0.6076092782367188,nan,-0.011768610522298538,nan,0.002644496009820898,nan
60,-0.4668285306857903,nan,-0.011137618637369515,nan,0.0018908686372403744,nan
61,-0.7380666380930441,nan,-0.009733143145947847,nan,0.0027800714215286616,nan
62,-0.3926362016984954,nan,-0.009343070466144729,nan,0.0014111970187955106,nan
63,-0.8362371680246515,nan,-0.007739235293708141,nan,0.0043282646805883705,nan
